file,whisper_script,assigned_label,wer_error
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day04/@KenhBongDaVietNam2023_1/000000032/000000032_000001196.wav,đây là bàn thắng,bên phía đội tuyển u23 qs 10 cho đội tuyển u23 việt nam hi vọng đây là bàn thắng,78.94736842
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day01/@cuocsongmientrung.vanhai_1/000000005/000000005_000000108.wav,về kết thúc,thì à về kết thúc á thì ờ,62.5
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day02/@KhoaiLangThang_0/000000034/000000034_000000153.wav,trông giống như đầu của một con rắn,ờm chỉ kêu cái này là con mắt cái này là cái trông giống như đầu của một con rắn,60
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day02/@VietDramas_0/000000129/000000129_000000112.wav,bên nhau để,ta về bên nhau bên,60
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day04/@FPTBongDaOfficial_1/000000061/000000061_000000042.wav,trước các đối thủ bayern munich arsenal và ryan madrid tuy nhiên cuối cùng,trước các đối thủ bay den mu ních a sê nô và rây an man rít tuy nhiên cuối cùng,55
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day03/@phdsportsvn_1/000000020/000000020_000000580.wav,cảm giác được uống nước sướng thật,gần đầy một chai luôn tha hồ uống cảm giác được uống nước sướng thật,53.33333333
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day02/@SangVlog9_0/000000123/000000123_000000291.wav,con rắn quá nhỏ quá sang với mấy đứa con không bắt,của sang với mấy đứa nha rồi thì con rắn này nhỏ quá sang với mấy đứa cũng không bắt,50
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day03/@dongtaypromotionofficial_1/000000014/000000014_000000462.wav,có nhiều chơi nhiều,có nhiêu chơi nhiêu,50
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day01/@MixiGaming3con_1/000000022/000000022_000000903.wav,ai thẳng peo peo,ai thẳng beo beo,50
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day04/@WEBTHETHAOVN_0/000000009/000000009_000000538.wav,bóng vẫn còn,vẫn còn,50
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day04/@phimvietcuoituan_0/000000045/000000045_000000276.wav,nên nghĩ tới,nên nghĩ,50
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day03/@phdsportsvn_1/000000001/000000001_000002538.wav,bốn mươi bảy kg,bốn mươi bảy ki lô gram,50
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day04/@O2PRODUCTION_0/000000082/000000082_000000369.wav,ok dạ ok không biết nữa,ô kê dạ ô kê không biết nữa,50
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day03/@phdsportsvn_1/000000045/000000045_000000628.wav,thành lập vào năm nào,đảng cộng sản việt nam thành lập vào năm nào,50
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day02/@phimvietcuoituan_0/000000030/000000030_000000574.wav,anh không biết phải đào đổi ra ba mươi triệu,anh không biết phải đào đâu ra ba mươi triệu để làm phẫu thuật cho má anh,47.05882353
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day02/@BHTTV_0/000000069/000000069_000000070.wav,tại hội nghị singapore ông zelenki cũng than phiền rằng,tại hội nghị xin ga po ông giê len xơ ki cũng than phiền rằng,46.66666667
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day04/@KenhBongDaVietNam2023_1/000000060/000000060_000001987.wav,các cầu thủ indonesia gấp ba lần,các cầu thủ in đô nê xi a gấp ba lần,45.45454545
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day01/@HueVietNamNgayNay_1/000000154/000000154_000000195.wav,dạ mình chào bà con,tiếp theo trân trọng dạ mình chào bà con,44.44444444
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day04/@MyTVSportsOfficial_1/000000168/000000168_000000126.wav,chia sẻ về những trải nghiệm những kỷ niệm với christian ronaldo,chia sẻ về những trải nghiệm những kỷ niệm với cờ rít ti a nô rô nan đô,44.44444444
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day04/@MyTVSportsOfficial_1/000000049/000000049_000000289.wav,rất khéo léo estonia tấn công,rất khéo léo ét tô ni a tấn công,44.44444444
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day02/@SangVlog9_0/000000128/000000128_000000209.wav,đang mười một cọng một chùm như thế này nè,ba chùm mình sẽ mình sẽ đan mười một cọng một chùm như thế này nè,43.75
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day03/@DIENQUANFilm_1/000000064/000000064_000000416.wav,thậm chí là vì tương lai phát triển của dragon empire nữa,thậm chí là vì tương lai phát triển của dờ ra gân em pai ờ sẽ,43.75
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day02/@BHTTV_0/000000066/000000066_000000231.wav,thủ tướng hungary victor obán người duy trì mối quan hệ với tổng thống nga vladimir putin trước đây đã cố gắng ngăn chặn viện trợ cho ukraine,thủ tướng hung ga ry víc tơ ô ban người duy trì mối quan hệ với tổng thống nga vờ la đi mia pu tin trước đây đã cố gắng ngăn chặn viện trợ cho u cờ rai na,43.58974359
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day04/@tv360vtt_0/000000048/000000048_000000187.wav,sẽ giúp indonesia gần như hoàn thiện bộ khung nhập tịch indonesia và đủ sức,sẽ giúp in đô nê xi a gần như hoàn thiện bộ khung nhập tịch in đô nê xi a và đủ sức,43.47826087
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day02/@BHTTV_0/000000162/000000162_000000035.wav,điều đó xảy ra nếu ông putin thắng ở ukraine,điều đó xảy ra nếu ông pu tin thắng ở u cờ rai na,42.85714286
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day04/@WEBTHETHAOVN_0/000000061/000000061_000000254.wav,chào bạn khánh tây media,chào bạn khánh tây mê đi a,42.85714286
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day03/@ChaoTrang_0/000000135/000000135_000000231.wav,con dâu của tôi,mọi người ơi con dâu của tôi,42.85714286
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day01/@quanglinhvlogs97_1/000000012/000000012_000000201.wav,đẹp rồi đẹp rồi máy này đẹp á,đẹp rồi đẹp rồi máy này đẹp á máy đẹp máy đẹp máy đẹp,42.85714286
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day03/@dongtaypromotionofficial_1/000000020/000000020_000001711.wav,lại càng yêu em,càng say anh lại càng yêu em,42.85714286
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day03/@ChaoTrang_0/000000105/000000105_000000190.wav,em rất vui vì đôi mắt của anh đã bình,cũng hông biết nữa anh dương nè em rất vui vì đôi mắt của anh đã bình,41.17647059
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day03/@GhienMiGo_0/000000093/000000093_000001479.wav,phường con sẽ ngày đêm chăm chỉ,con sẽ ngày đêm chăm,40
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day02/@BHTTV_0/000000013/000000013_000000118.wav,một khu vực ly khai của gruzia,một khu vực ly khai của gờ ru gi a,40
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day04/@FPTBongDaOfficial_1/000000100/000000100_000000079.wav,và không dễ bị đánh bại,bản lĩnh lì lợm và không dễ bị đánh bại,40
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day02/@POPSTVVIETNAM_0/000000096/000000096_000000863.wav,quán không trả được quán,oán không trả được oán,40
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day04/@MyTVSportsOfficial_1/000000115/000000115_000000008.wav,nhưng không có tiếng còi vang lên đây là frank tayton,nhưng không có tiếng còi vang lên đây là phờ răng sờ tay bô tần,40
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day02/@THVLPhim_0/000000026/000000026_000000422.wav,không là đã bị bắt rồi,không lẽ bị bắt rồi,40
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day03/@EntertainmentHTV_1/000000069/000000069_000000107.wav,leo là con đổi ba lô hả bây giờ con,lê ô là con gấu ba lô con đổi ba lô hả bây giờ con,40
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day02/@BHTTV_0/000000167/000000167_000000125.wav,israel đã mở chiến dịch quân sự đáp trả ở dải gaza,ít sa ren đã mở chiến dịch quân sự đáp trả ở giải ga da,40
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day01/@MixiGaming3con_1/000000013/000000013_000000339.wav,vòng về city đi vòng về city đi,vòng về ci ty đi vòng về ci ty đi,40
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day04/@TV360Dinhcaobongda_1/000000042/000000042_000000029.wav,để anh chinh phục những đỉnh cao mới tại euro sắp tới jose morino,để anh chinh phục những đỉnh cao mới tại ơ rô sắp tới giô sê mô ri nhô,38.88888889
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day03/@DIENQUANFilm_1/000000088/000000088_000000447.wav,một khi nó qua singapore con cảm ơn bác helen,một khi nó qua xin ga po con cảm ơn bác he lờn,38.46153846
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day04/@MyTVSportsOfficial_1/000000086/000000086_000000030.wav,cụ thể theo huấn luyện viên huyền thoại người italia,cụ thể theo huấn luận viên huyền thoại người i ta li a,38.46153846
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day04/@FPTBongDaOfficial_1/000000084/000000084_000000044.wav,thêm một trận đấu chung kết nữa với nepal matic,thêm một trận đấu chung kết nữa với nê ma gia ma tíc,38.46153846
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day01/@truyenhinhnghean_1/000000095/000000095_000000521.wav,theo đó canada cho phép các nhà máy của airbus,theo đó ca na đa cho phép các nhà máy của êi buýt,38.46153846
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day04/@MyTVSportsOfficial_1/000000087/000000087_000000437.wav,mong muốn là có sự xuất hiện của ronaldo ronaldo trong những trận đấu của,mong muốn là có sự xuất hiện của cờ rít ti a nô rô nan đô trong những trận đấu của,38.0952381
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day01/@truyenhinhnghean_1/000000120/000000120_000000001.wav,phó chủ tịch hội đồng an ninh nga dimitri mesheviev cảnh báo,phó chủ tịch hội đồng an ninh nga đi mi tri méc vê đép cảnh báo,37.5
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day04/@MTPICTURESOFFICIAL2016_1/000000029/000000029_000000228.wav,nó đi tu nghiệp ở singapore,nó đi tu nghiệp ở xin ga po,37.5
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day04/@MyTVSportsOfficial_1/000000165/000000165_000000026.wav,đá của frank lampard bóng đi không chính xác,đá của phờ răng lam bát bóng đi không chính xác,36.36363636
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day01/@caoanhtrungvlog_1/000000027/000000027_000000532.wav,giai điệu là chú nhận cái khuyết điểm vậy,thật ra đều là chú nhận cái cái khuyết điểm vậy,36.36363636
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day02/@BHTTV_0/000000054/000000054_000000298.wav,công ty khai thác mỏ quốc doanh lkab,công ty khai thác mỏ quốc doanh lờ ca a bê,36.36363636
/mnt/mmlab2024/datasets/Backup/final_dataset/splited_ytb_with_perfect/day03/@T0NY94_0/000000132/000000132_000000165.wav,lấy con heo đen này được không,ê lấy con heo đen này được không dạ được đó,36.36363636
